track_id,track_length,first_frame_id,last_frame_id,first_frame_index,last_frame_index,frame_span,start_x,start_y,end_x,end_y,net_displacement,path_length,mean_step_distance,max_step_distance,straightness_ratio,mean_score,min_score,max_score,mean_points,min_points,max_points,passes_curation,rejection_reasons,quality_score
283,3,264,269,14,19,6,14.50948678412896,6.144153384082149,19.453547812709147,9.185189994934976,5.8044502860195655,6.217581277940606,3.108790638970303,4.634587185325798,0.9335543882012785,0.7834786500288379,0.5518248018361834,1.0,92.66666666666667,30.0,150.0,False,short_track,0.6553466130293054
1,3,250,254,0,4,5,45.9383030397982,6.246304295751378,45.993582637650725,10.51592848361408,4.269982030351061,4.555477741220124,2.277738870610062,3.4389351983479965,0.9373291393160014,0.7730372655948617,0.6298685983604362,0.9942857142857144,80.66666666666667,46.0,138.0,False,short_track,0.6524368669809785
162,3,257,261,7,11,5,54.39853560810343,-14.673304626284866,51.11813002651935,-10.458536425415495,5.340911136383716,5.535786976123406,2.767893488061703,3.570468882177872,0.9647970847541252,0.7557384112559339,0.5695136614234894,1.0,80.66666666666667,28.0,160.0,False,short_track,0.6519615714359979
206,3,259,261,9,11,3,20.219672582068007,28.47462324974427,21.486715937580023,34.8521310645352,6.50215385795096,8.00885254668254,4.00442627334127,4.449802513631685,0.8118708416781014,0.8196317195384766,0.5417523014725725,1.0,96.0,27.0,150.0,False,short_track,0.6468024239427005
36,6,251,259,1,9,9,8.737503258931033,9.503597593690492,0.7583835109701187,21.304818558753396,14.24553151758614,16.898876273369456,3.3797752546738913,8.945805776345532,0.8429869115046035,0.6732378623361721,0.585405079421455,0.8581329437025996,66.33333333333333,41.0,129.0,False,large_frame_jump,0.6396370066151225
80,3,254,256,4,6,3,26.866755940422856,-8.198248318473784,22.159966324180367,-7.171686709900623,4.817436790219922,4.926546844845088,2.463273422422544,3.011605985571626,0.9778526302374788,0.7057165561551223,0.6353858871042888,0.8175290400397479,71.0,44.0,102.0,False,short_track,0.6361641140761548
251,3,262,267,12,17,6,29.257263159387776,-2.049865483110201,33.71664606370928,-2.045850453148825,4.459384711798306,4.8446375521159135,2.4223187760579568,2.498741762754357,0.9204785009872726,0.6967440358954944,0.5658290358833529,0.9569803506593274,72.0,35.0,146.0,False,short_track,0.6301902942797558
298,3,265,267,15,17,3,1.5804285988338966,27.05265645334614,1.3112129735727018,22.838048029661397,4.223197984688757,4.310196388346402,2.155098194173201,2.7073320873258306,0.9798156752455957,0.6777935653756165,0.5287497773499885,0.9206148200481524,66.0,23.0,130.0,False,short_track,0.6267127324443075
93,3,255,257,5,7,3,30.785327150494727,14.248086764530534,35.24907098934863,13.903430462758154,4.477029933477953,4.9273160718307025,2.4636580359153513,4.24616906680196,0.9086143182640504,0.7464321226838683,0.5255485174204537,0.904951226535266,75.66666666666667,22.0,130.0,False,short_track,0.6232855270204987
55,3,252,255,2,5,4,10.328551693495577,3.423850208038391,9.771801781073458,3.473918258390203,0.5589966678327053,6.061847745532747,3.0309238727663734,3.203310351938366,0.09221555725226777,0.9496371004365297,0.9092881794277012,0.9998592328651202,245.0,161.0,327.0,False,short_track;jittery_track;low_displacement,0.6229538643032134
81,4,254,259,4,9,6,36.96425357553196,-9.100549468774757,27.05275861762539,-23.324261718610337,17.336427615478634,17.46345320530138,5.821151068433793,9.92352961752056,0.992726204357785,0.7324194136946482,0.5788913542991804,0.8064470566607815,66.0,31.0,82.0,False,large_frame_jump,0.6125072371523619
